ts,old_speed,new_speed,new_is_stale,new_is_stat
1773243433000,0.00,2.29,true,false
1773243437000,0.00,2.29,true,false
1773243442000,0.00,1.94,false,false
1773243445000,7.18,3.22,false,false
1773243447000,7.18,3.22,true,false
1773243452000,14.53,5.12,false,false
1773243457000,19.56,7.69,false,false
1773243462000,21.86,9.92,false,false
1773243466000,18.71,13.43,false,false
1773243468000,18.71,13.43,true,false
1773243471000,18.35,15.48,false,false
1773243477000,16.37,15.21,false,false
1773243481000,15.97,15.91,false,false
1773243485000,11.15,14.46,false,false
1773243487000,11.15,14.46,true,false
1773243490000,11.97,13.07,false,false
1773243496000,12.33,11.99,false,false
1773243498000,12.33,11.99,true,false
1773243500000,0.00,11.99,true,false
1773243502000,18.30,13.75,false,false
1773243506000,15.94,15.24,false,false
1773243508000,15.94,15.24,true,false
1773243512000,26.92,17.22,false,false
1773243516000,33.26,19.76,false,false
1773243520000,29.65,22.48,false,false
1773243525000,22.44,22.48,false,false
1773243527000,22.44,22.48,true,false
1773243531000,27.09,24.75,false,false
1773243533000,27.09,24.75,true,false
1773243537000,25.00,25.20,false,false
1773243540000,32.93,26.42,false,false
1773243542000,32.93,26.42,true,false
1773243545000,29.29,26.87,false,false
1773243548000,29.29,26.87,true,false
1773243551000,18.54,26.48,false,false
1773243554000,18.54,26.48,true,false
1773243556000,21.01,26.01,false,false
1773243560000,19.23,24.93,false,false
1773243567000,19.23,19.47,false,false
1773243571000,0.00,19.47,true,false
1773243573000,0.00,19.47,true,false
1773243577000,0.00,11.97,false,false
1773243583000,4.79,11.05,false,false
1773243588000,7.86,9.83,false,false
1773243592000,14.16,9.66,false,false
1773243595000,19.75,12.00,false,false
1773243599000,19.75,12.00,true,false
1773243601000,28.14,17.19,false,false
1773243605000,12.74,17.19,true,false
1773243610000,29.27,20.93,false,false
1773243615000,31.98,26.05,false,false
1773243619000,45.69,31.23,false,false
1773243622000,49.26,36.69,false,false
1773243624000,49.26,36.69,true,false
